exp,source,target,t_dijkstra,t_floyd
222,17,20,5.671899998560548e-05,0.02988859000015509
223,43,11,7.91729999036761e-05,0.026543226000285358
224,22,49,8.486400020046858e-05,0.027000191999832168
225,21,42,7.85629999882076e-05,0.02700307299983251
226,33,6,0.00011928000003535999,0.02708157500001107
227,15,21,0.00011300900041533168,0.026693871000134095
228,7,45,0.00013041200008956366,0.02636705700024322
229,10,45,0.00011620900022535352,0.02755541299984543
230,24,19,7.335199961744365e-05,0.02709550700001273
231,14,38,0.00010148699993806076,0.026935040000353183
232,25,38,9.89570003184781e-05,0.026649742999779846
233,46,4,0.0001187289999506902,0.0268213320000541
234,42,20,0.00011126800018246286,0.02689079399988259
235,40,22,4.31169996772951e-05,0.02658434299974033
236,22,15,3.376599988769158e-05,0.027449516000160656
237,47,15,0.00011280900025667506,0.026901675000317482
238,14,48,0.0001391240002703853,0.026519665999785502
239,16,13,9.297499991589575e-05,0.02697823500011509
240,9,11,0.00012150000020483276,0.02649954499975138
241,45,24,4.80779999634251e-05,0.02662316699979783
242,4,35,6.800200026191305e-05,0.026763558999846282
243,46,38,0.00010393799993835273,0.02715307299968117
244,13,45,0.00014520300010190113,0.02653405199998815
245,4,11,0.00011326899993946427,0.027575143000376556
246,30,19,0.00010100600002260762,0.02648490399997172
247,13,22,0.00011409900025682873,0.026683126000079938
248,9,33,8.449400002064067e-05,0.02639846000010948
249,14,7,0.00010321699983251165,0.026434785000219563
250,30,16,3.6456000088946894e-05,0.026379636000001483
251,27,29,7.804200004102313e-05,0.02865971199980777
252,24,38,8.105400002023089e-05,0.026499596000121528
253,26,0,3.498500018395134e-05,0.026190485999904922
254,2,3,8.098399985101423e-05,0.026652601000023424
255,12,14,7.66829998610774e-05,0.026913103999959276
256,0,38,6.169100015540607e-05,0.026858744000037404
257,38,4,9.760600005392917e-05,0.026309464999940246
258,48,23,4.8937999963527545e-05,0.02676145900022675
259,22,1,9.196500013786135e-05,0.026394459000130155
260,30,45,8.727500016902923e-05,0.026455027999872982
261,14,33,0.00010094600020238431,0.02638523800032999
262,25,11,5.345899990061298e-05,0.026391698000225006
263,23,28,8.309399981953902e-05,0.026140835999740375
264,38,13,8.302400010506972e-05,0.026724202999957924
265,12,40,9.436499976800405e-05,0.02681395799982056
266,24,22,5.5558999974891776e-05,0.026206438000372145
267,26,1,4.3387000005168375e-05,0.026045421000162605
268,23,2,9.113499982049689e-05,0.02680553600021085
269,13,37,0.00010377700027675019,0.02683465099971727
270,25,7,7.813299998815637e-05,0.026831121000213898
271,31,13,6.45199997961754e-05,0.02644064600008278
272,22,5,6.307100011326838e-05,0.026735223999821756
273,35,15,9.075499974642298e-05,0.027206262000163406
274,1,4,3.681599991978146e-05,0.026588167999761936
275,10,49,5.57590001335484e-05,0.026595809000355075
276,18,24,0.0001026670001920138,0.02642104999995354
277,7,44,9.069499992619967e-05,0.026208204999875306
278,19,48,8.16540000414534e-05,0.02669100499997512
279,21,43,4.026599981443724e-05,0.026520706999690447
280,30,2,7.591300027343095e-05,0.02641467900002681
281,27,33,2.3793999844201608e-05,0.026493793000099686
282,3,27,7.11810002940183e-05,0.026577955999982805
283,17,45,4.2037000184791395e-05,0.026947986999857676
284,6,33,7.199199990282068e-05,0.026601969999774155
285,1,47,9.927600012815674e-05,0.026254803000028915
286,23,15,6.763100009266054e-05,0.02644516400005159
287,12,6,6.711100013490068e-05,0.026283168000190926
288,25,16,8.123299994622357e-05,0.026787911000155873
289,15,41,9.037500012709643e-05,0.02687786500018774
290,7,14,7.91729999036761e-05,0.02676563700015322
291,35,37,0.00010942800008706399,0.026725189999979193
292,49,34,0.00010088699991683825,0.026238699999794335
293,45,1,8.522400003130315e-05,0.02657204500019361
